Аральский, пер., рус
Старошишківська, вул., укр
Стартова, вул., укр
Старшегригорівка, вул., укр
Стельмаха, пров., укр
Степанківський, пров., укр
Степова, вул., укр
Степовий, пров., укр
Степовий 1-й, пров., укр
Степовий 2-й, пров., укр
Стефенсона, вул., укр
Столярний, пров., укр
Стрілецький, пров., укр
Стрілецький 2-й, пров., укр
Струницький, пров., укр
Студенська, вул., укр
Студенський, пров., укр
Суворова, вул., укр
Суздальські Ряди, вул., укр
Сумгаїтська, вул., укр
Сумська, вул., укр
Сумцова, вул., укр
Сумцова, пров., укр
Сурикова, вул., укр
Сусаніна Івана, вул., укр
Сусаніна Івана, пров., укр
Сухаревська, вул., укр
Сухарівський, пров., укр
Сухумська, вул., укр
Сучасна, вул., укр
Сущенська, вул., укр
Східна, вул., укр
Східний, пров., укр
Сьомої Гвардійської Армії, вул., укр
Таборова, вул., укр
Таборовий 2-й, пров., укр
Таборовий 3-й, пров., укр
Таборовий 4-й, пров., укр
Таганська, вул., укр
Таганський, пров., укр
Таганський 1-й, пров., укр
Таганський 2-й, пров., укр
Таганський 3-й, пров., укр
Тагільська, вул., укр
Тагільський, пров., укр
Таджицька, вул., укр
Таймирська, вул., укр
Таманський, пров., укр
Танєєва, вул., укр
Танкова, вул., укр
Танкопія, вул., укр
Танкопія, пров., укр
Таранушенка, вул., укр
Тарасівська, вул., укр
Тарасівський, пров., укр
Тархова, вул., укр
Тахіатаська, вул., укр
Ташкентська, вул., укр
Ташкентський, пров., укр
Тбіліський, пров., укр
Тваринників, вул., укр
Тверська, вул., укр
Театральний, пров., укр
Текстильна, вул., укр
Теплична, вул., укр
Тепловозна, вул., укр
Терихівська, вул., укр
Тернова, вул., укр
Терновий, пров., укр
Тернопільська, вул., укр
Тер-Петросяна, вул., укр
Тетяни Устинової, пров., укр
Тетянівський, пров., укр
Технічна, вул., укр
Технічний, пров., укр
Тираспольська, вул., укр
Тираспольський, пров., укр
Титаренківська, вул., укр
Титаренківський, пров., укр
Тихий, пров., укр
Тишенківська, вул., укр
Тімірязєва, вул., укр
Тімірязєва, пров., укр
Тіниста, вул., укр
Тітова, вул., укр
Ткаченківська, вул., укр
Ткаченківський, пров., укр
Ткачівська, вул., укр
Тобольська, вул., укр
Товаришевська, вул., укр
Товаришевський, пров., укр
Токарівський, пров., укр
Толбухіна, вул., укр
Толстого, вул., укр
Томахівський, пров., укр
Томська, вул., укр
Томський, пров., укр
Тополева, вул., укр
Топчіївський, пров., укр
Торгова, вул., укр
Тракторна, вул., укр
Тракторний 1-й, пров., укр
Тракторний 2-й, пров., укр
Тракторобудівників, просп., укр
Трансформаторна, вул., укр
Трансформаторний, пров., укр
Третя, вул., укр
Тринклера, вул., укр
Трипільський, пров., укр
Троїцький, пров., укр
Тропініна, вул., укр
Тростянецький, пров., укр
Трохимівський, пров., укр
Троценка, вул., укр
Трубна, вул., укр
Трубний, пров., укр
Трудовий, пров., укр
Труфанова, вул., укр
Тульська, вул., укр
Тульський, пров., укр
Тульчинський, пров., укр
Тупий, пров., укр
Турбінна, вул., укр
Турбогенераторна, вул., укр
Тургенівська, вул., укр
Тургенівський, пров., укр
Туркестанська, вул., укр
Туркистанський, пров., укр
Тюленіна Сергія, вул., укр
Тюменський, пров., укр
Тюрінська, вул., укр
Тяньшанська, вул., укр
Углицький, пров., укр
Уграїцького, вул., укр
Уграїцького, пров., укр
Удмуртська, вул., укр
Удмуртський, пров., укр
Удянська, вул., укр
Удянський, пров., укр
Ужвій Наталії, вул., укр
Узбекський, пров., укр
Українська, вул., укр
Уманська, вул., укр
Унецький, пров., укр
Університетська, вул., укр
Університетський, пров., укр
Університетський 2-й, пров., укр
Уральська, вул., укр
Уральський, пров., укр
Урожайна, вул., укр
Урюпіна, вул., укр
Усівський, пров., укр
Уссурійська, вул., укр
Учительський, вул., укр
Ушакова, вул., укр
Ушинського, вул., укр
Ушинського, пров., укр
Фабрика-Кухня, вул., укр
Фанінський, пров., укр
Фасадна, вул., укр
Фастівський, пров., укр
Федецького, вул., укр
Федоренка, вул., укр
Федорівська, вул., укр
Федорцівська, вул., укр
Федорцівський, пров., укр
Фейєрбаха, вул., укр
Фельдегерська, вул., укр
Фельдшерська, вул., укр
Феодосійська, вул., укр
Ферганська, вул., укр
Ферганський, пров., укр
Фермерська, вул., укр
Фесенківська, вул., укр
Фестивальна, вул., укр
Фестивальний, пров., укр
Фігнера, вул., укр
Фізкультурна, вул., укр
Фізкультурний, пров., укр
Фіньківський, пров., укр
Фісановича, вул., укр
Фонвізіна, вул., укр
Франка, вул., укр
Франка, пров., укр
Франківська, вул., укр
Франківський, пров., укр
Франтішка Крала, вул., укр
Французький, бульв., укр
Фроловський, пров., укр
Фронтова, вул., укр
Фронтовиків, бульв., укр
Фруктовий, пров., укр
Фрунзе, вул., укр
Хабарова, вул., укр
Хабаровська, вул., укр
Хабаровський, пров., укр
Хакаський, пров., укр
Халтуріна, вул., укр
Халтуріна, пров., укр
Харківська, вул., укр
Харківських Дивізій, вул., укр
Хасанський, пров., укр
Хатишевський, пров., укр
Хвильового, вул., укр
Хвойна, вул., укр
Хемзівська, вул., укр
Херсонська, вул., укр
Хибиногорський, пров., укр
Хімічний, пров., укр
Хліборобна, вул., укр
Холмогорська, вул., укр
Холодногірська, вул., укр
Хорольська, вул., укр
Хорошевський, пров., укр
Хотомлянська, вул., укр
ХТЗ, вул., укр
ХТЗ, пров., укр
Хуторянська, вул., укр
Цегельний, пров., укр
Цезаря, вул., укр
Цементна, вул., укр
Цепківська, вул., укр
Цехівська, вул., укр
Цигарівський, пров., укр
Цимлянський, пров., укр
Цитівська, вул., укр
Цілинна, вул., укр
Цілиноградська, вул., укр
Цюрупи, пров., укр
Чаадаєва, вул., укр
Чаадаєва, пров., укр
Чайкіної Лізи, вул., укр
Чайковська, вул., укр
Чаплигіна, пров., укр
Чебишева, вул., укр
Чебишева, пров., укр
Чебоксарський, пров., укр
Челюскіна Семена, вул., укр
Челюскінців, вул., укр
Челябінська, вул., укр
Челябінський, пров., укр
Червона, вул., укр
Червона Алея, вул., укр
Червона поляна, вул., укр
Червоні Ряди, вул., укр
Червоної троянди, вул., укр
Червономаяцька, вул., укр
Червонопольська, вул., укр
Червоноуральська, вул., укр
Червонюка, вул., укр
Чередніченківський, пров., укр
Черемушна, вул., укр
Черемушний, пров., укр
Черепанових, вул., укр
Черкаська, вул., укр
Черкаський, пров., укр
Чернигівський, пров., укр
Чернишевська, вул., укр
Чернівецька, вул., укр
Чернівецький, пров., укр
Чернігівська, вул., укр
Черновський, пров., укр
Черняховського, вул., укр
Черняховського, пров., укр
Четвертий, пров., укр
Чехова, вул., укр
Чехова, пров., укр
Чигирина Юлія, вул., укр
Чинбарна, вул., укр
Чистоклітівська, вул., укр
Чистоклітівський 1-ий, пров., укр
Чистоклітівський 2-й, пров., укр
Чистоклітівський 2-ий, пров., укр
Чичибабіна, вул., укр
Чкалова, вул., укр
Чоботарська, вул., укр
Чорноземна, вул., укр
Чорноморська, вул., укр
Чуваська, вул., укр
Чугуївська, вул., укр
Чуйківська, вул., укр
Чуйківський 1-й, пров., укр
Чуйківський 2-й, пров., укр
Чуйківський 3-й, пров., укр
Чукотська, вул., укр
Чукотський, пров., укр
Чумаківський, пров., укр
Шалімова, вул., укр
Шаляпіна, вул., укр
Шаповалівський, пров., укр
Шарикова, вул., укр
Шатилівська, вул., укр
Шатилова Дача, вул., укр
Шахтарська, вул., укр
Шацька, вул., укр
Шведський, пров., укр
Швидкісна, вул., укр
Швидкісний, пров., укр
Шебелинська, вул., укр
Шевченка, вул., укр
Шевченківський, пров., укр
Шекспіра, вул., укр
Шепетівська, вул., укр
Шепетівський, пров., укр
Шилівський, пров., укр
Шиллінгера, вул., укр
Шиллінгера, пров., укр
Широніна, вул., укр
Ширяєва, вул., укр
Шишківська, вул., укр
Шишківський, пров., укр
Шкільна, вул., укр
Шкільний, пров., укр
Шлюзова, вул., укр
Шляхопровідний, пров., укр
Шмідта Лейтенанта, вул., укр
Шмідта Отто, вул., укр
Шмідта Отто, пров., укр
Шовковична, вул., укр
Шолома-Алейхема, вул., укр
Шолохова, вул., укр
Шолохова, пров., укр
Шосткінська, вул., укр
Шосткінський, пров., укр
Шостопарк, вул., укр
Шостопарк, пров., укр
Шпаківський, пров., укр
Шполянська, вул., укр
Штерівська, вул., укр
Штурмова, вул., укр
Шуберта, вул., укр
Шубнікова, вул., укр
Шульженко Клавдії, вул., укр
Шумана, вул., укр
Шумана, пров., укр
Шумілова, вул., укр
Щаслива, вул., укр
Щасливий, пров., укр
Щедрінська, вул., укр
Щепкіна, вул., укр
Щигрівська, вул., укр
Щоголівська, вул., укр
Ювілейна, вул., укр
Ювілейний, пров., укр
Ювілейний, просп., укр
Югорський, пров., укр
Юдіна, вул., укр
Юмашева, вул., укр
Юмтівський, пров., укр
Юнацька, вул., укр
Юннатів, вул., укр
Юності, вул., укр
Юр'єва, бульв., укр
Юри Зойфера, вул., укр
Юридична, вул., укр
Юр'ївська, вул., укр
Юр'ївський, пров., укр
Юрія Кнорозова, вул., укр
Юрія Кондратюка, пров., укр
Юрія Лавріненка, вул., укр
Юрія Паращука, вул., укр
Юрія Шевельова, вул., укр
Яблочкіна, вул., укр
Яблочкіна, пров., укр
Яблунева, вул., укр
Яблуневий, пров., укр
Ягідна, вул., укр
Ягідний 2-й, пров., укр
Якубівський, пров., укр
Якутська, вул., укр
Ялинова, вул., укр
Ялтинський, пров., укр
Ямська, вул., укр
Яновського, вул., укр
Яновського, пров., укр
Яремівський, пров., укр
Ярова, вул., укр
Ярослава Мудрого, вул., укр
Ярославська, вул., укр
Ясенева, вул., укр
Ясна, вул., укр
Ясні Зорі, вул., укр
Ясні Зорі, пров., укр
Яснополянська, вул., укр
